GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,0,1.000,25.176,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,1,1.000,25.312,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,2,1.000,25.289,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,3,1.000,25.483,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,4,1.000,25.366,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,5,1.000,25.467,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,6,1.000,25.352,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,7,1.000,25.376,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,8,1.000,25.430,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,9,1.000,25.378,0.001
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,0,1.000,253.927,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,1,1.000,250.899,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,2,1.000,244.004,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,3,1.000,250.741,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,4,1.000,248.434,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,5,1.000,259.235,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,6,1.000,250.414,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,7,1.000,251.675,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,8,1.000,255.426,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,9,1.000,252.510,0.003
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,0,1.000,1497.539,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,1,1.000,1527.686,0.013
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,2,1.000,1516.784,0.013
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,3,1.000,1492.579,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,4,1.000,1486.954,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,5,1.000,1418.646,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,6,1.000,1546.474,0.013
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,7,1.000,1449.641,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,8,1.000,1481.163,0.012
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,9,1.000,1648.588,0.013
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,0,1.000,7669.795,0.060
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,1,1.000,7904.171,0.063
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,2,1.000,6495.394,0.048
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,3,1.000,7002.882,0.051
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,4,1.000,7462.531,0.062
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,5,1.000,7824.709,0.061
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,6,1.000,8048.813,0.062
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,7,1.000,6990.698,0.049
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,8,1.000,7944.745,0.054
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,9,1.000,7370.712,0.053
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,0,1.000,41209.203,0.282
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,1,1.000,41298.103,0.284
NVIDIA GeForce RTX 2080 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,2,1.000,41295.301,0.288
